Designator,Mid X,Mid Y,Rotation,Layer
C1,82.0,-108.0,90.0,top
D1,48.0,-125.0,90.0,top
D2,49.0,-102.0,90.0,top
D3,49.0,-98.0,90.0,top
J1,54.0,-118.55,0.0,bottom
J2,81.736,-132.676,0.0,top
J3,74.2,-92.6693,135.0,top
J4,74.2407,-137.1938,45.0,top
R1,47.0,-121.0,270.0,top
R2,48.0,-109.0,180.0,top
R3,99.0,-107.0,180.0,top
R4,54.0,-102.0,90.0,top
R5,87.0,-99.0,90.0,top
R6,91.0,-99.0,90.0,top
R7,54.0,-98.0,90.0,top
SW1,48.0,-115.0,270.0,bottom
U1,80.0,-115.0,90.0,bottom
U2,99.0,-113.0,270.0,top
